epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,281.414,1.46114,4.53678,3.92728,1.29574,0.00473,0.94161,0.20827,0.13354,0.00462,0.91971,0.18657,0.09178,1.06237,2.32934,3.46741,0.96349,0.00028,0.00028,0.00028
2,553.071,1.36438,2.61356,2.51099,1.139,0.00509,0.51095,0.1369,0.05725,0.00524,0.52555,0.13261,0.05717,1.20556,2.79756,3.53481,1.04087,0.000578086,0.000578086,0.000578086
3,834.229,1.35203,2.49843,2.23293,1.13885,0.04963,0.04308,0.01148,0.00621,0.04963,0.04308,0.01094,0.0057,1.25144,2.38888,3.68173,1.10791,0.000874192,0.000874192,0.000874192
4,1105.1,1.36158,2.44314,2.04975,1.14137,0.19417,0.13869,0.09685,0.05505,0.20439,0.14599,0.09852,0.03963,1.38207,3.54741,3.22559,1.1873,0.00116832,0.00116832,0.00116832
5,1372.69,1.40257,2.43996,1.93308,1.17749,0.00432,0.14599,0.00379,0.00202,0.00338,0.08029,0.00233,0.00086,1.62691,12.7962,4.78127,1.47887,0.00146046,0.00146046,0.00146046
6,1623.99,1.46397,2.62319,1.92735,1.2162,0.10054,0.05109,0.00872,0.00346,0.08419,0.0438,0.00585,0.00119,2.09902,37.9106,4.00053,1.97573,0.00175063,0.00175063,0.00175063
7,1899.87,1.47006,2.50706,1.82621,1.20822,0.01396,0.0146,0.00182,0.00091,0.01176,0.0146,0.00084,0.00024,3.02071,390.306,4.36072,2.80952,0.0019604,0.0019604,0.0019604
8,2166.89,1.44838,2.42225,1.72061,1.19362,0.25666,0.45255,0.18332,0.09466,0.20507,0.37226,0.12261,0.03916,1.5887,7.57785,3.76024,1.45208,0.0019538,0.0019538,0.0019538
9,2427.31,1.43882,2.46983,1.71973,1.19716,0.24142,0.27737,0.14918,0.08467,0.15875,0.12409,0.04621,0.0119,1.64662,88.9231,2.88226,1.50747,0.0019472,0.0019472,0.0019472
10,2693,1.44321,2.57213,1.72356,1.21744,0.18317,0.36666,0.12986,0.06814,0.18591,0.18978,0.08014,0.0346,1.78592,16.2412,2.82968,1.43927,0.0019406,0.0019406,0.0019406
11,2961.39,1.45122,2.51342,1.65817,1.227,0.08598,0.15328,0.06074,0.03356,0.08089,0.13869,0.04684,0.0173,1.76004,4.97797,2.88361,1.46898,0.001934,0.001934,0.001934
